model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_gold_turns,first_gold_turn,last_gold_turn,gold_coverage
deepseek-v4-flash,high,observational-memory,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,0,0.9900383141762452,123,32,2,112,1.0
deepseek-v4-flash,high,observational-memory,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.970856102003643,58,38,2,57,0.6
deepseek-v4-flash,high,observational-memory,superjson-error-stack-serialization,0,found_kept_failed,0,0.9030612244897959,71,35,2,69,1.0
deepseek-v4-flash,high,observational-memory,task-task-graph-export,0,found_kept_failed,0,0.5405405405405406,104,42,2,83,1.0
deepseek-v4-flash,high,observational-memory,tengo-callable-instance-isolation,0,found_kept_failed,0,0.9793103448275862,104,29,1,95,0.75
deepseek-v4-flash,high,observational-memory,tengo-destructuring-bindings,0,found_kept_failed,0,0.4618834080717489,78,40,2,66,1.0
deepseek-v4-flash,high,observational-memory,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.8688524590163934,73,23,1,69,0.5
deepseek-v4-flash,high,observational-memory,testem-bail-on-test-failure,0,found_kept_failed,0,0.9844559585492227,77,45,2,72,0.889
deepseek-v4-flash,high,observational-memory,testem-per-launcher-reports,0,found_kept_failed,0,0.9925093632958801,52,17,2,44,1.0
deepseek-v4-flash,high,observational-memory,textual-kitty-key-phases,0,found_kept_failed,0,0.8,71,27,2,56,0.714
deepseek-v4-flash,high,observational-memory,textual-richlog-follow-state,0,solved,1,1.0,63,20,2,56,1.0
deepseek-v4-flash,high,observational-memory,tomlkit-toml-table-converters,0,found_kept_failed,0,0.9931640625,85,25,1,76,1.0
deepseek-v4-flash,high,observational-memory,true-myth-iterable-collection-combinators,0,solved,1,1.0,33,20,2,28,1.0
deepseek-v4-flash,high,observational-memory,ts-pattern-match-each,0,found_kept_failed,0,0.989010989010989,51,7,2,46,1.0
deepseek-v4-flash,high,observational-memory,updo-policy-alerting,0,found_kept_failed,0,0.9642857142857143,41,14,1,34,0.556
deepseek-v4-flash,high,observational-memory,valibot-recursive-schema-composition,0,found_kept_failed,0,0.9634703196347032,67,47,2,64,0.632
deepseek-v4-flash,high,observational-memory,vitest-duration-sharding,0,found_kept_failed,0,0.925,98,59,3,96,1.0
deepseek-v4-flash,high,observational-memory,vulture-persistent-analysis-cache,0,found_then_lost,0,0.9811912225705329,85,40,1,58,1.0
deepseek-v4-flash,high,observational-memory,wasmi-trap-coredumps,0,found_kept_failed,0,0.0,55,36,3,53,0.857
deepseek-v4-flash,high,observational-memory,wazero-multi-module-snapshots,0,solved,1,1.0,92,8,2,81,0.357
deepseek-v4-flash,high,observational-memory,yaegi-go-embed-directives,0,found_kept_failed,0,0.71875,187,23,3,141,1.0
deepseek-v4-flash,high,observational-memory,yjs-map-conflict-detection,0,found_kept_failed,0,0.9958333333333333,65,31,2,49,0.875
deepseek-v4-flash,high,observational-memory,ytt-jsonpath-query-api,0,found_kept_failed,0,0.9230769230769231,51,7,4,47,0.4
deepseek-v4-flash,high,baseline-wf,actionlint-action-pinning-lint,0,found_kept_failed,0,0.965,86,44,1,78,1.0
deepseek-v4-flash,high,baseline-wf,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9982027318475917,124,61,2,113,0.857
deepseek-v4-flash,high,baseline-wf,anko-default-function-arguments,0,found_kept_failed,0,0.9834710743801653,134,13,4,130,0.333
deepseek-v4-flash,high,baseline-wf,anko-typed-variable-bindings,0,found_kept_failed,0,0.912621359223301,21,10,2,19,0.778
deepseek-v4-flash,high,baseline-wf,awilix-async-container-initialization,0,found_kept_failed,0,0.26344086021505375,61,45,2,59,1.0
deepseek-v4-flash,high,baseline-wf,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9886039886039886,62,13,2,47,0.571
deepseek-v4-flash,high,baseline-wf,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.0,50,35,3,49,0.8
deepseek-v4-flash,high,baseline-wf,cattrs-partial-structuring-recovery,0,solved,1,1.0,55,18,1,48,1.0
deepseek-v4-flash,high,baseline-wf,clack-async-autocomplete-options,0,found_kept_failed,0,0.9379310344827586,80,32,2,64,0.667
deepseek-v4-flash,high,baseline-wf,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9992854590925331,101,32,3,92,0.667
deepseek-v4-flash,high,baseline-wf,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9831288343558282,156,100,4,148,0.917
deepseek-v4-flash,high,baseline-wf,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.5982905982905983,104,75,4,103,1.0
deepseek-v4-flash,high,baseline-wf,etree-xml-diff-patch,0,found_kept_failed,0,0.9850746268656716,39,16,1,37,0.375
deepseek-v4-flash,high,baseline-wf,fastapi-implicit-head-options,0,found_kept_failed,0,0.0003147623544224111,39,31,1,37,1.0
deepseek-v4-flash,high,baseline-wf,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.9802631578947368,106,20,2,90,1.0
deepseek-v4-flash,high,baseline-wf,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.6206896551724138,99,36,3,89,0.667
deepseek-v4-flash,high,baseline-wf,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9927536231884058,54,29,2,52,1.0
deepseek-v4-flash,high,baseline-wf,httpx-streaming-json-iteration,0,found_then_lost,0,0.9993386243386243,67,16,2,39,0.333
deepseek-v4-flash,high,baseline-wf,kea-atomic-signal-selectors,0,found_kept_failed,0,0.9602649006622517,58,22,2,57,0.875
deepseek-v4-flash,high,baseline-wf,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,119,29,2,100,0.667
deepseek-v4-flash,high,baseline-wf,kombu-single-active-consumer-priority,0,found_kept_failed,0,0.99800796812749,108,38,4,106,1.0
deepseek-v4-flash,high,baseline-wf,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.8693467336683417,86,45,3,79,1.0
deepseek-v4-flash,high,baseline-wf,langchain-request-coalescing,0,found_kept_failed,-1,0.0,93,43,1,85,1.0
deepseek-v4-flash,high,baseline-wf,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9986702127659575,154,63,4,142,0.667
deepseek-v4-flash,high,baseline-wf,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,98,44,4,93,0.8
deepseek-v4-flash,high,baseline-wf,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.8863636363636364,58,35,3,57,1.0
deepseek-v4-flash,high,baseline-wf,oxvg-structural-selector-preservation,0,found_kept_failed,-1,0.0,5,1,4,4,0.333
deepseek-v4-flash,high,baseline-wf,prometheus-typed-label-sorting,0,search_failure,0,0.6222222222222222,60,0,,,0.0
deepseek-v4-flash,high,baseline-wf,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9764359351988218,64,30,2,58,0.562
deepseek-v4-flash,high,baseline-wf,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9672131147540983,99,23,1,96,0.5
deepseek-v4-flash,high,baseline-wf,textual-kitty-key-phases,0,found_kept_failed,0,0.9125,45,14,3,43,0.714
deepseek-v4-flash,high,baseline-wf,ts-pattern-match-each,0,found_then_lost,0,0.06593406593406594,45,6,2,31,1.0
deepseek-v4-flash,high,baseline-wf,updo-policy-alerting,0,found_then_lost,0,0.95,33,10,1,23,0.444
deepseek-v4-flash,high,baseline-wf,wasmi-trap-coredumps,0,found_kept_failed,0,0.0375,132,62,3,129,0.857
deepseek-v4-flash,high,baseline-wf,wazero-multi-module-snapshots,0,found_kept_failed,0,0.0,21,9,2,19,0.429
deepseek-v4-flash,high,baseline-wf,yjs-map-conflict-detection,0,solved,1,1.0,61,40,4,60,0.875
deepseek-v4-flash,high,ponytail-full,abs-module-cache-flags,0,found_kept_failed,0,0.391304347826087,46,15,2,37,0.75
deepseek-v4-flash,high,ponytail-full,abs-stepped-slices,0,found_kept_failed,0,0.5833333333333334,92,22,3,85,1.0
deepseek-v4-flash,high,ponytail-full,actionlint-action-pinning-lint,0,found_kept_failed,0,0.92,106,38,1,86,1.0
deepseek-v4-flash,high,ponytail-full,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9971243709561467,134,57,3,126,1.0
deepseek-v4-flash,high,ponytail-full,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.8360655737704918,81,29,2,76,1.0
deepseek-v4-flash,high,ponytail-full,anko-default-function-arguments,0,found_then_lost,0,0.9834710743801653,184,8,3,137,0.667
deepseek-v4-flash,high,ponytail-full,anko-typed-variable-bindings,0,found_kept_failed,0,0.9611650485436893,91,37,3,75,0.778
deepseek-v4-flash,high,ponytail-full,arcane-drift-detection-baselines,0,found_kept_failed,0,0.36904761904761907,107,46,4,93,0.833
deepseek-v4-flash,high,ponytail-full,arktype-json-schema-refs-dependencies,0,found_kept_failed,0,0.9988262910798122,45,17,3,44,0.857
deepseek-v4-flash,high,ponytail-full,awilix-async-container-initialization,0,found_kept_failed,0,0.9731182795698925,68,36,2,61,1.0
deepseek-v4-flash,high,ponytail-full,bandit-incremental-cache-control,0,found_then_lost,0,0.9118457300275482,52,16,2,33,0.833
deepseek-v4-flash,high,ponytail-full,bandit-interprocedural-taint-checks,0,found_then_lost,0,0.8161559888579387,73,9,3,20,0.333
deepseek-v4-flash,high,ponytail-full,bandit-structured-nosec-directives,0,found_then_lost,0,0.9886039886039886,60,26,3,38,0.714
deepseek-v4-flash,high,ponytail-full,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.0,60,39,4,59,1.0
deepseek-v4-flash,high,ponytail-full,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.9736842105263158,62,19,2,58,0.667
deepseek-v4-flash,high,ponytail-full,clack-async-autocomplete-options,0,found_then_lost,0,0.9862068965517241,36,10,2,21,0.667
deepseek-v4-flash,high,ponytail-full,claude-code-by-agents-recursive-delegation,0,found_kept_failed,0,0.868421052631579,44,9,1,33,1.0
deepseek-v4-flash,high,ponytail-full,cliffy-config-file-parsing,0,found_kept_failed,0,0.9897540983606558,69,22,1,64,0.667
deepseek-v4-flash,high,ponytail-full,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9991663689412885,81,24,3,71,0.667
deepseek-v4-flash,high,ponytail-full,dasel-html-document-format,0,found_then_lost,0,0.697754749568221,88,12,3,36,0.75
deepseek-v4-flash,high,ponytail-full,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9971455756422455,88,33,3,83,1.0
deepseek-v4-flash,high,ponytail-full,drizzle-orm-window-function-builders,0,found_kept_failed,0,0.9683908045977011,120,83,4,117,1.0
deepseek-v4-flash,high,ponytail-full,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9892141756548536,99,63,3,96,0.562
deepseek-v4-flash,high,advisor,abs-module-cache-flags,0,found_kept_failed,0,0.6956521739130435,124,49,2,108,0.75
deepseek-v4-flash,high,advisor,abs-stepped-slices,0,found_kept_failed,0,0.5833333333333334,79,32,2,73,1.0
deepseek-v4-flash,high,advisor,actionlint-action-pinning-lint,0,found_kept_failed,0,0.985,146,69,1,143,1.0
deepseek-v4-flash,high,advisor,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.0,109,78,2,108,1.0
deepseek-v4-flash,high,advisor,adaptix-name-mapping-aliases,1,found_kept_failed,0,0.9974838245866283,133,70,1,126,1.0
deepseek-v4-flash,high,advisor,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.9508196721311475,99,58,2,88,1.0
deepseek-v4-flash,high,advisor,anko-default-function-arguments,0,found_then_lost,0,0.9834710743801653,49,1,4,4,0.333
deepseek-v4-flash,high,advisor,anko-typed-variable-bindings,0,found_kept_failed,0,0.912621359223301,30,17,3,29,0.778
deepseek-v4-flash,high,advisor,arcane-drift-detection-baselines,0,found_kept_failed,0,0.2261904761904762,69,25,1,66,1.0
deepseek-v4-flash,high,advisor,arcane-drift-detection-baselines,1,found_kept_failed,0,0.9880952380952381,120,43,3,117,0.833
deepseek-v4-flash,high,advisor,arktype-json-schema-refs-dependencies,0,found_kept_failed,0,0.9982394366197183,87,23,3,85,0.857
deepseek-v4-flash,high,advisor,awilix-async-container-initialization,0,found_kept_failed,0,0.989247311827957,85,49,2,65,1.0
deepseek-v4-flash,high,advisor,bandit-incremental-cache-control,0,found_kept_failed,0,0.8842975206611571,65,12,2,64,0.833
deepseek-v4-flash,high,advisor,bandit-interprocedural-taint-checks,0,found_then_lost,0,0.8607242339832869,61,10,4,27,0.889
deepseek-v4-flash,high,advisor,bandit-structured-nosec-directives,0,solved,1,1.0,55,11,1,36,0.714
deepseek-v4-flash,high,advisor,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.0,47,33,3,45,1.0
deepseek-v4-flash,high,advisor,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.8947368421052632,60,22,2,49,1.0
deepseek-v4-flash,high,advisor,clack-async-autocomplete-options,0,found_then_lost,0,0.9544827586206897,69,23,4,45,0.667
deepseek-v4-flash,high,advisor,claude-code-by-agents-recursive-delegation,0,found_kept_failed,0,0.9473684210526315,39,22,2,31,0.75
deepseek-v4-flash,high,advisor,cliffy-config-file-parsing,0,found_then_lost,0,0.9897540983606558,73,28,1,38,0.833
deepseek-v4-flash,high,advisor,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9994640943193998,53,11,3,52,0.667
deepseek-v4-flash,high,advisor,dasel-html-document-format,0,found_then_lost,0,0.697754749568221,73,9,3,35,0.75
deepseek-v4-flash,high,advisor,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.0,71,35,3,68,1.0
deepseek-v4-flash,high,advisor,dateutil-rfc5545-timezone-interop,1,found_kept_failed,0,0.9961941008563273,83,36,1,76,1.0
deepseek-v4-flash,high,advisor,drizzle-orm-window-function-builders,0,found_kept_failed,0,0.9080459770114943,56,38,4,55,1.0
deepseek-v4-flash,high,advisor,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9861325115562404,63,42,2,60,0.562
deepseek-v4-flash,high,advisor,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9831288343558282,87,55,4,86,0.833
deepseek-v4-flash,high,advisor,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.0,82,52,2,81,1.0
deepseek-v4-flash,high,advisor,effect-sse-httpapi-streaming,1,found_kept_failed,0,0.5982905982905983,133,62,2,105,1.0
deepseek-v4-flash,high,advisor,eicrud-keyset-pagination-cursor,0,found_kept_failed,0,0.945054945054945,114,36,2,106,0.571
deepseek-v4-flash,high,advisor,etree-xml-diff-patch,0,found_kept_failed,0,0.9104477611940298,34,15,1,27,0.375
deepseek-v4-flash,high,advisor,expr-try-catch-errors,0,found_kept_failed,0,0.9986585071747257,34,21,5,33,0.833
deepseek-v4-flash,high,advisor,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.0,96,63,2,92,0.75
deepseek-v4-flash,high,advisor,fastapi-deprecation-response-headers,1,found_kept_failed,0,0.0,83,60,2,82,0.75
deepseek-v4-flash,high,advisor,fastapi-implicit-head-options,0,found_kept_failed,0,0.9870947434686811,35,22,2,34,1.0
deepseek-v4-flash,high,advisor,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.9868421052631579,119,48,2,106,1.0
deepseek-v4-flash,high,advisor,geo-shapeindex-serialization,0,solved,1,1.0,50,5,4,16,0.857
deepseek-v4-flash,high,advisor,go-critic-doc-link-checker,0,found_then_lost,0,0.8947368421052632,67,10,2,47,1.0
deepseek-v4-flash,high,advisor,go-genai-streamed-function-args,0,found_kept_failed,0,0.0,64,29,3,50,0.75
deepseek-v4-flash,high,advisor,go-genai-streamed-function-args,1,found_kept_failed,0,0.9264705882352942,97,37,3,87,0.75
deepseek-v4-flash,high,advisor,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.7368421052631579,76,26,1,74,1.0
deepseek-v4-flash,high,advisor,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.9827586206896551,79,35,2,70,0.5
deepseek-v4-flash,high,advisor,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.0,29,17,1,28,1.0
deepseek-v4-flash,high,advisor,gql-incremental-graphql-delivery,1,found_kept_failed,0,0.9963768115942029,68,39,1,63,1.0
deepseek-v4-flash,high,advisor,happy-dom-abort-pending-body-reads,0,found_then_lost,-1,0.0,24,6,6,17,1.0
deepseek-v4-flash,high,advisor,happy-dom-abort-pending-body-reads,1,solved,1,1.0,100,32,9,59,1.0
deepseek-v4-flash,high,advisor,happy-dom-deterministic-intersectionobserver,0,found_kept_failed,0,0.9565217391304348,55,11,2,46,0.25
deepseek-v4-flash,high,advisor,helm-array-merge-strategies,0,found_kept_failed,0,0.0,22,9,2,21,0.714
deepseek-v4-flash,high,advisor,helm-unified-manifest-stream,0,found_kept_failed,0,0.2857142857142857,43,15,2,39,0.7
deepseek-v4-flash,high,advisor,httpx-deterministic-cookie-store,0,found_then_lost,0,0.994269340974212,56,22,1,38,0.8
deepseek-v4-flash,high,advisor,httpx-multipart-response-parsing,0,found_then_lost,-1,0.0,8,2,1,2,0.8
deepseek-v4-flash,high,advisor,httpx-multipart-response-parsing,1,found_kept_failed,0,0.996413199426112,66,21,2,64,1.0
deepseek-v4-flash,high,advisor,httpx-streaming-json-iteration,0,found_then_lost,-1,0.0,6,1,2,2,0.333
deepseek-v4-flash,high,advisor,httpx-streaming-json-iteration,1,found_kept_failed,0,0.9947089947089947,103,35,3,102,0.333
deepseek-v4-flash,high,advisor,igel-persist-feature-schema,0,found_kept_failed,0,0.07692307692307693,18,7,3,17,1.0
deepseek-v4-flash,high,advisor,ink-grid-box-layout,0,search_failure,-1,0.0,1,0,,,0.0
deepseek-v4-flash,high,advisor,ink-grid-box-layout,1,found_kept_failed,0,0.8648648648648649,124,51,2,115,1.0
deepseek-v4-flash,high,advisor,ipython-session-bundle-replay,0,found_kept_failed,0,0.8695652173913043,61,17,2,56,1.0
deepseek-v4-flash,high,advisor,katex-multicolumn-array-spans,0,found_kept_failed,-1,0.0,6,2,3,4,0.5
deepseek-v4-flash,high,advisor,katex-multicolumn-array-spans,1,found_kept_failed,0,0.9913419913419913,159,77,2,130,1.0
deepseek-v4-flash,high,advisor,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.3333333333333333,16,8,1,14,0.667
deepseek-v4-flash,high,advisor,kea-atomic-signal-selectors,0,found_then_lost,-1,0.0,17,4,2,5,0.875
deepseek-v4-flash,high,advisor,kea-atomic-signal-selectors,1,found_then_lost,0,0.9536423841059603,94,34,2,66,0.875
deepseek-v4-flash,high,advisor,kgateway-consistent-hash-policy,0,found_then_lost,-1,0.0,10,3,1,4,0.444
deepseek-v4-flash,high,advisor,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,57,14,3,41,0.444
deepseek-v4-flash,high,advisor,kombu-single-active-consumer-priority,0,found_then_lost,-1,0.0,11,5,2,6,1.0
deepseek-v4-flash,high,advisor,kombu-single-active-consumer-priority,1,found_kept_failed,0,0.99734395750332,109,53,3,108,1.0
deepseek-v4-flash,high,advisor,kombu-virtual-queue-dead-lettering,0,found_kept_failed,-1,0.0,5,3,1,4,0.6
deepseek-v4-flash,high,advisor,kombu-virtual-queue-dead-lettering,1,found_kept_failed,0,0.9838709677419355,87,41,2,76,1.0
deepseek-v4-flash,high,advisor,koota-composite-trait-aspects,0,found_kept_failed,0,0.026905829596412557,43,36,3,42,1.0
deepseek-v4-flash,high,advisor,koota-composite-trait-aspects,1,found_kept_failed,0,0.9372197309417041,203,94,4,194,0.938
deepseek-v4-flash,high,advisor,koota-deferred-mutation-buffer,0,found_kept_failed,-1,0.0,14,7,3,10,0.714
deepseek-v4-flash,high,advisor,koota-deferred-mutation-buffer,1,found_kept_failed,0,0.6432160804020101,75,37,2,64,1.0
deepseek-v4-flash,high,advisor,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9770992366412213,32,21,3,29,0.8
deepseek-v4-flash,high,advisor,koota-pair-relation-tracking,0,found_kept_failed,0,0.819047619047619,41,27,2,40,1.0
deepseek-v4-flash,high,advisor,koota-query-predicates,0,found_kept_failed,0,0.8,58,44,3,56,0.933
deepseek-v4-flash,high,advisor,kysely-window-grouping-helpers,0,found_kept_failed,-1,0.0,16,6,3,14,0.733
deepseek-v4-flash,high,advisor,kysely-window-grouping-helpers,1,found_kept_failed,0,0.07971014492753623,155,70,3,138,0.733
deepseek-v4-flash,high,advisor,langchain-request-coalescing,0,found_kept_failed,0,0.8546099290780141,21,12,1,19,0.75
deepseek-v4-flash,high,advisor,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9977726063829787,17,5,6,16,0.667
deepseek-v4-flash,high,advisor,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9986412516013821,40,22,2,39,0.833
deepseek-v4-flash,high,advisor,mnamer-daemon-watch-lifecycle,0,found_kept_failed,0,0.8567567567567568,29,7,2,27,1.0
deepseek-v4-flash,high,advisor,mobly-grouped-test-barriers,0,found_then_lost,-1,0.0,7,3,2,4,1.0
deepseek-v4-flash,high,advisor,mobly-grouped-test-barriers,1,found_kept_failed,0,0.992108229988726,89,37,3,83,1.0
deepseek-v4-flash,high,advisor,narwhals-rolling-window-suite,0,found_kept_failed,-1,0.0,8,4,2,7,1.0
deepseek-v4-flash,high,advisor,narwhals-rolling-window-suite,1,solved,1,1.0,149,51,4,125,1.0
deepseek-v4-flash,high,advisor,numba-stencil-boundary-modes,0,found_kept_failed,0,0.9661214953271028,14,7,2,10,0.667
deepseek-v4-flash,high,advisor,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,33,19,2,31,1.0
deepseek-v4-flash,high,advisor,obsidian-linter-link-format-conversion,0,found_kept_failed,0,0.9958018471872376,34,13,8,33,0.667
deepseek-v4-flash,high,advisor,obsidian-linter-scoped-ignore-markers,0,found_then_lost,-1,0.0,9,2,3,4,0.667
deepseek-v4-flash,high,advisor,obsidian-linter-scoped-ignore-markers,1,found_then_lost,0,0.9716981132075472,46,5,2,23,0.667
deepseek-v4-flash,high,advisor,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.8,28,12,3,24,0.667
deepseek-v4-flash,high,advisor,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.7045454545454546,21,14,2,20,0.636
deepseek-v4-flash,high,advisor,opa-rego-rule-profiling,0,found_kept_failed,0,0.0,62,20,1,61,1.0
deepseek-v4-flash,high,advisor,opa-rego-rule-profiling,1,found_then_lost,-1,0.0,33,5,5,23,0.667
deepseek-v4-flash,high,advisor,opa-template-string-reconstruction,0,found_then_lost,-1,0.0,26,3,6,8,0.25
deepseek-v4-flash,high,advisor,opa-template-string-reconstruction,1,found_kept_failed,0,0.6666666666666666,229,9,14,174,0.25
deepseek-v4-flash,high,advisor,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9826086956521739,32,15,4,31,0.8
deepseek-v4-flash,high,advisor,oxvg-structural-selector-preservation,0,found_then_lost,-1,0.0,39,4,5,19,1.0
deepseek-v4-flash,high,advisor,oxvg-structural-selector-preservation,1,found_kept_failed,0,0.9558823529411765,69,10,5,53,1.0
deepseek-v4-flash,high,advisor,participle-grammar-conflict-analysis,0,found_then_lost,-1,0.0,4,1,1,1,0.143
deepseek-v4-flash,high,advisor,participle-grammar-conflict-analysis,1,found_kept_failed,0,0.6352459016393442,119,10,1,116,0.143
deepseek-v4-flash,high,advisor,pebble-durability-wait-apis,0,found_kept_failed,-1,0.0,12,8,2,11,0.75
deepseek-v4-flash,high,advisor,pebble-durability-wait-apis,1,found_kept_failed,0,0.6116504854368932,212,94,1,196,0.875
deepseek-v4-flash,high,advisor,pest-character-class-coalescing,0,found_kept_failed,0,0.0,14,5,1,13,0.75
deepseek-v4-flash,high,advisor,pest-character-class-coalescing,1,found_kept_failed,0,0.9067796610169492,125,53,3,123,1.0
deepseek-v4-flash,high,advisor,prometheus-transactional-reload-status,0,found_kept_failed,-1,0.0,8,7,1,7,0.3
deepseek-v4-flash,high,advisor,prometheus-transactional-reload-status,1,found_kept_failed,0,0.9175257731958762,82,50,2,68,0.3
deepseek-v4-flash,high,advisor,prometheus-typed-label-sorting,0,found_then_lost,-1,0.0,19,1,5,5,0.333
deepseek-v4-flash,high,advisor,prometheus-typed-label-sorting,1,found_then_lost,0,0.8888888888888888,70,5,8,23,0.333
deepseek-v4-flash,high,advisor,psd-tools-blend-range-api,0,found_kept_failed,0,0.982421875,47,17,2,43,1.0
deepseek-v4-flash,high,advisor,pwntools-tube-multiplexing,0,found_then_lost,-1,0.0,7,2,1,2,0.75
deepseek-v4-flash,high,advisor,pwntools-tube-multiplexing,1,found_then_lost,0,0.9324324324324325,63,16,1,36,1.0
deepseek-v4-flash,high,advisor,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9690721649484536,37,24,1,34,0.812
deepseek-v4-flash,high,advisor,query-persist-restored-query-state,0,solved,1,1.0,17,10,2,16,0.667
deepseek-v4-flash,high,advisor,quill-shared-toolbar-focus,0,found_kept_failed,0,0.7714285714285715,19,8,3,18,0.625
deepseek-v4-flash,high,advisor,returns-validated-error-accumulation,0,found_kept_failed,0,0.990909090909091,82,35,5,79,1.0
deepseek-v4-flash,high,advisor,scc-bounded-memory-spilling,0,solved,1,1.0,68,22,1,65,0.25
deepseek-v4-flash,high,advisor,scriggo-method-declarations,0,found_kept_failed,0,0.9562443026435734,94,52,3,92,0.889
deepseek-v4-flash,high,advisor,skrub-duration-encoding,0,found_kept_failed,0,0.9996568291008923,72,25,2,63,1.0
deepseek-v4-flash,high,advisor,sql-formatter-bigquery-pipe-formatting,0,found_kept_failed,0,0.9954664341761116,48,29,3,47,0.909
deepseek-v4-flash,high,advisor,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,-1,0.0,19,8,2,16,0.889
deepseek-v4-flash,high,advisor,sqlfmt-create-table-ddl-formatting,1,found_kept_failed,0,0.9938697318007663,175,51,2,166,1.0
deepseek-v4-flash,high,advisor,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.0,19,8,2,18,0.6
deepseek-v4-flash,high,advisor,superjson-error-stack-serialization,0,found_kept_failed,0,0.6275510204081632,11,6,1,10,1.0
deepseek-v4-flash,high,advisor,task-task-graph-export,0,found_kept_failed,-1,0.0,19,6,1,18,1.0
deepseek-v4-flash,high,advisor,task-task-graph-export,1,found_kept_failed,0,0.4864864864864865,67,29,1,51,1.0
deepseek-v4-flash,high,advisor,tengo-callable-instance-isolation,0,found_then_lost,0,0.8551724137931035,43,12,1,31,0.75
deepseek-v4-flash,high,advisor,tengo-destructuring-bindings,0,found_kept_failed,0,0.0,34,19,2,33,1.0
deepseek-v4-flash,high,advisor,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.13114754098360656,30,6,1,28,0.5
deepseek-v4-flash,high,advisor,termenv-preserve-ansi-resets,1,found_kept_failed,0,0.9262295081967213,79,19,2,68,0.5
deepseek-v4-flash,high,advisor,testem-bail-on-test-failure,0,found_kept_failed,0,0.9516407599309153,40,31,2,39,0.944
deepseek-v4-flash,high,advisor,testem-per-launcher-reports,0,found_kept_failed,0,0.9625468164794008,30,14,2,26,1.0
deepseek-v4-flash,high,advisor,textual-kitty-key-phases,0,found_then_lost,0,0.7875,40,13,2,25,0.571
deepseek-v4-flash,high,advisor,textual-richlog-follow-state,0,found_kept_failed,0,0.8846153846153846,55,24,2,45,1.0
deepseek-v4-flash,high,advisor,tomlkit-toml-table-converters,0,found_then_lost,-1,0.0,10,2,1,2,0.75
deepseek-v4-flash,high,advisor,tomlkit-toml-table-converters,1,found_kept_failed,0,0.9931640625,120,35,2,99,1.0
